title,episodes,status,aired,duration,rating,score,scored_by,popularity,members,favorites,studios,genres
Cowboy Bebop,26.0,Finished Airing,"Apr 3, 1998 to Apr 24, 1999",24 min per ep,R - 17+ (violence & profanity),8.75,1062542,41,2058090,89677,Sunrise,"Action, Award Winning, Sci-Fi"
Cowboy Bebop: The Movie,1.0,Finished Airing,"Sep 1, 2001",1 hr 55 min,R - 17+ (violence & profanity),8.38,232522,659,412324,1787,Bones,"Action, Sci-Fi"
Trigun,26.0,Finished Airing,"Apr 1, 1998 to Sep 30, 1998",24 min per ep,PG-13 - Teens 13 or older,8.22,401915,266,835191,17675,Madhouse,"Action, Adventure, Sci-Fi"
Witch Hunter Robin,26.0,Finished Airing,"Jul 3, 2002 to Dec 25, 2002",25 min per ep,PG-13 - Teens 13 or older,7.27,46743,1993,129930,712,Sunrise,"Action, Drama, Mystery, Supernatural"
Beet the Vandel Buster,52.0,Finished Airing,"Sep 30, 2004 to Sep 29, 2005",23 min per ep,PG - Children,7.06,7381,5887,17063,18,Toei Animation,"Action, Adventure, Fantasy"
Eyeshield 21,145.0,Finished Airing,"Apr 6, 2005 to Mar 19, 2008",23 min per ep,PG-13 - Teens 13 or older,7.92,93853,1422,196299,2128,Gallop,Sports
Honey and Clover,24.0,Finished Airing,"Apr 15, 2005 to Sep 27, 2005",23 min per ep,PG-13 - Teens 13 or older,7.99,87434,985,285880,4206,J.C.Staff,"Comedy, Drama, Romance"
Hungry Heart: Wild Striker,52.0,Finished Airing,"Sep 11, 2002 to Sep 10, 2003",23 min per ep,PG-13 - Teens 13 or older,7.62,14487,4893,27171,243,Nippon Animation,Sports
Initial D Fourth Stage,24.0,Finished Airing,"Apr 17, 2004 to Feb 18, 2006",27 min per ep,PG-13 - Teens 13 or older,8.18,120030,1303,215731,1440,A.C.G.T.,"Action, Drama"
Monster,74.0,Finished Airing,"Apr 7, 2004 to Sep 28, 2005",24 min per ep,R+ - Mild Nudity,8.89,512836,114,1330755,62155,Madhouse,"Drama, Mystery, Suspense"
Naruto,220.0,Finished Airing,"Oct 3, 2002 to Feb 8, 2007",23 min per ep,PG-13 - Teens 13 or older,8.02,2143473,9,3119695,86544,Studio Pierrot,"Action, Adventure, Fantasy"
One Piece,,Currently Airing,"Oct 20, 1999 to ?",24 min,PG-13 - Teens 13 or older,8.73,1531582,17,2683017,252209,Toei Animation,"Action, Adventure, Fantasy"
The Prince of Tennis,178.0,Finished Airing,"Oct 10, 2001 to Mar 23, 2005",22 min per ep,PG-13 - Teens 13 or older,7.86,89034,1412,198139,3077,Trans Arts,Sports
Ring ni Kakero 1,12.0,Finished Airing,"Oct 7, 2004 to Dec 16, 2004",23 min per ep,PG - Children,6.7,1906,9118,5722,9,Toei Animation,Sports
School Rumble,26.0,Finished Airing,"Oct 5, 2004 to Mar 29, 2005",23 min per ep,PG-13 - Teens 13 or older,7.89,155193,806,345498,5408,Studio Comet,"Comedy, Romance"
Desert Punk,24.0,Finished Airing,"Oct 6, 2004 to Mar 30, 2005",24 min per ep,R - 17+ (violence & profanity),7.37,58217,1762,152103,881,Gonzo,"Action, Adventure, Comedy, Sci-Fi, Ecchi"
Texhnolyze,22.0,Finished Airing,"Apr 17, 2003 to Sep 25, 2003",23 min per ep,R+ - Mild Nudity,7.78,64267,969,290849,5714,Madhouse,"Avant Garde, Drama, Mystery, Sci-Fi, Suspense"
Trinity Blood,24.0,Finished Airing,"Apr 29, 2005 to Oct 28, 2005",24 min per ep,R - 17+ (violence & profanity),7.3,84383,1396,200722,1428,Gonzo,"Action, Fantasy, Sci-Fi"
Yakitate!! Japan,69.0,Finished Airing,"Oct 12, 2004 to Mar 14, 2006",24 min per ep,PG-13 - Teens 13 or older,7.91,43355,2320,105382,951,Sunrise,"Comedy, Gourmet"
Zipang,26.0,Finished Airing,"Oct 8, 2004 to Apr 1, 2005",24 min per ep,PG-13 - Teens 13 or older,7.59,8828,5017,25630,207,Studio Deen,"Action, Drama, Sci-Fi"
Neon Genesis Evangelion,26.0,Finished Airing,"Oct 4, 1995 to Mar 27, 1996",24 min per ep,PG-13 - Teens 13 or older,8.37,1215784,44,2030934,117951,"Gainax, Tatsunoko Production","Avant Garde, Award Winning, Drama, Sci-Fi, Suspense"
Neon Genesis Evangelion: Death & Rebirth,1.0,Finished Airing,"Mar 15, 1997",1 hr 44 min,R - 17+ (violence & profanity),7.5,155063,1002,280779,813,"Gainax, Production I.G, Tatsunoko Production","Drama, Sci-Fi, Suspense"
Neon Genesis Evangelion: The End of Evangelion,1.0,Finished Airing,"Jul 19, 1997",1 hr 26 min,R+ - Mild Nudity,8.57,697553,178,1043981,32530,"Gainax, Production I.G","Avant Garde, Drama, Sci-Fi, Suspense"
Berserk,25.0,Finished Airing,"Oct 8, 1997 to Apr 1, 1998",23 min per ep,R+ - Mild Nudity,8.61,414089,303,767911,31718,OLM,"Action, Adventure, Drama, Fantasy, Horror"
Ghost in the Shell,1.0,Finished Airing,"Nov 18, 1995",1 hr 22 min,R+ - Mild Nudity,8.27,362616,337,705503,14364,Production I.G,"Award Winning, Mystery, Sci-Fi, Suspense"
